year,fao_code,item,category,production_t,prod_loss_pct,prod_loss_t,postharvest_loss_pct,postharvest_loss_t,farmgate_t,farmgate_low,farmgate_high,retail_supply_t,dist_loss_pct,dist_loss_t,retail_loss_pct,retail_loss_t,retail_t,retail_low,retail_high,total_t
2011,449,Mushrooms and truffles,Other Perishable,44691.1,14.2,6346.14,8.7,3336.01,9682.1,6893.4,12371.5,14029.43,2.5,350.74,5.8,793.36,1144.1,805.2,1479.4,10826.3
2011,486,Bananas,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,64646.23,2.5,1616.16,5.8,3655.74,5271.9,3710.0,6816.9,5271.9
2011,490,Oranges,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,43299.82,2.5,1082.5,5.8,2448.6,3531.1,2485.0,4566.0,3531.1
2011,495,"Tangerines, mandarins, clementines",Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,18253.83,2.5,456.35,5.8,1032.25,1488.6,1047.6,1924.9,1488.6
2011,497,Lemons and limes,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,11277.74,2.5,281.94,5.8,637.76,919.7,647.2,1189.2,919.7
2011,515,Apples,Fruits,100107.0,14.2,14215.19,8.7,7472.59,21687.8,15441.2,27711.8,81267.93,2.5,2031.7,5.8,4595.7,6627.4,4664.0,8569.7,28315.2
2011,521,Pears,Fruits,5838.0,14.2,829.0,8.7,435.78,1264.8,900.5,1616.1,9478.85,2.5,236.97,5.8,536.03,773.0,544.0,999.6,2037.8
2011,526,Apricots,Tree Fruit,402.0,14.2,57.08,8.7,30.01,87.1,62.0,111.3,575.11,2.5,14.38,5.8,32.52,46.9,33.0,60.6,134.0
2011,531,Cherries,Fruits,10428.0,14.2,1480.78,8.7,778.41,2259.2,1608.5,2886.7,4452.48,2.5,111.31,5.8,251.79,363.1,255.5,469.5,2622.3
2011,534,Peaches and nectarines,Fruits,5148.0,14.2,731.02,8.7,384.28,1115.3,794.1,1425.1,9824.65,2.5,245.62,5.8,555.58,801.2,563.8,1036.0,1916.5
2011,536,Plums and sloes,Fruits,1447.0,14.2,205.47,8.7,108.01,313.5,223.2,400.6,6486.82,2.5,162.17,5.8,366.83,529.0,372.3,684.0,842.5
2011,544,Strawberries,Fruits,2103.0,14.2,298.63,8.7,156.98,455.6,324.4,582.2,17824.65,2.5,445.62,5.8,1007.98,1453.6,1023.0,1879.6,1909.2
2011,547,Raspberries,Fruits,11170.0,14.2,1586.14,8.7,833.8,2419.9,1722.9,3092.1,5963.21,2.5,149.08,5.8,337.22,486.3,342.2,628.9,2906.3
2011,552,Blueberries and cranberries,Fruits,73034.0,14.2,10370.83,8.7,5451.7,15822.5,11265.2,20217.4,14588.6,2.5,364.72,5.8,824.99,1189.7,837.2,1538.3,17012.2
2011,560,Grapes,Fruits,20975.0,14.2,2978.45,8.7,1565.7,4544.1,3235.3,5806.3,24508.89,2.5,612.72,5.8,1385.98,1998.7,1406.6,2584.5,6542.9
2011,567,Watermelons,Fruits,293.0,14.2,41.61,8.7,21.87,63.5,45.2,81.1,27123.24,2.5,678.08,5.8,1533.82,2211.9,1556.6,2860.1,2275.4
2011,568,Cantaloupes and other melons,Fruits,484.0,14.2,68.73,8.7,36.13,104.9,74.7,134.0,20387.49,2.5,509.69,5.8,1152.91,1662.6,1170.0,2149.9,1767.5
2011,572,Avocados,Vegetables,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,4517.47,2.5,112.94,5.8,255.46,368.4,259.3,476.4,368.4
2011,574,Pineapples,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,17679.95,2.5,442.0,5.8,999.8,1441.8,1014.7,1864.4,1441.8
2011,592,Kiwi fruit,Fruits,0.0,14.2,0.0,8.7,0.0,0.0,0.0,0.0,2529.74,2.5,63.24,5.8,143.06,206.3,145.2,266.8,206.3
